Device Name,Device Type,Energy Consumption (kWh),Date Range,Country,User Demographics: Age,User Demographics: Gender,Usage Frequency (per week/month),Device Brand,Average Duration of Use (Hours),Cost Savings (in $),Power Source,Internet Connectivity Status
Smart Plug,Fitness Monitoring,2.00,12-09-2024,Japan,31,Woman,3 per week,BrightLife,0.70,$40.65 ,Battery,Intermittent
Smart Speaker,Fitness Monitoring,14.30,06-06-2021,Japan,45,Non-binary,5 per week,EcoHome,17.90,$26.20 ,Solar,Disconnected
Smart Thermostat,Entertainment,15.90,01-02-2022,Brazil,51,Prefer not to say,7 per week,SunTrack,3.10,$14.77 ,Battery,Offline Mode
Security Camera,Security,16.30,13-10-2024,France,61,Woman,3 per week,CoolTech,18.70,$16.75 ,Solar,Intermittent
Smart Plug,Entertainment,3.40,26-02-2022,Japan,23,Man,15 per month,SafeGuard,4.50,$6.01 ,Solar,Intermittent
Security Camera,Smart Appliances,9.70,05-03-2020,Japan,21,Man,3 per week,BrightLife,21.50,$28.28 ,Grid,Connected
Home Assistant Hub,Water Conservation,5.80,28-12-2020,Canada,32,Woman,10 per month,SmartLiving,10.10,$48.95 ,Grid,Offline Mode
Video Doorbell,Fitness Monitoring,23.50,16-11-2023,France,41,Prefer not to say,5 per week,SunTrack,15.70,$13.27 ,Solar,Disconnected
Security Camera,Health Monitoring,19.90,16-09-2022,Canada,43,Prefer not to say,5 per week,CoolTech,18.40,$25.39 ,Battery,Disconnected
Home Assistant Hub,Fitness Monitoring,13.40,10-11-2023,Japan,53,Woman,15 per month,RingSecure,6.50,$3.81 ,Battery,Low Bandwidth
Solar Panel Monitor,Entertainment,10.30,07-01-2022,Brazil,38,Prefer not to say,15 per month,CoolTech,22.90,$46.08 ,Grid,Low Bandwidth
Home Assistant Hub,Fitness Monitoring,6.30,02-06-2021,Australia,58,Non-binary,7 per week,CoolTech,9.70,$46.81 ,Solar,Offline Mode
Smart Speaker,Smart Appliances,0.90,28-08-2021,Mexico,44,Prefer not to say,15 per month,SafeGuard,18.20,$37.68 ,Grid,Low Bandwidth
Video Doorbell,Water Conservation,11.90,01-12-2020,South Africa,41,Man,15 per month,RingSecure,14.60,$23.46 ,Battery,Connected
Solar Panel Monitor,Smart Appliances,16.00,07-03-2024,USA,24,Prefer not to say,7 per week,PlugWise,12.50,$10.40 ,Grid,Offline Mode
Smart Light Bulb,Entertainment,20.50,03-11-2024,Brazil,62,Woman,5 per week,SunTrack,11.40,$36.09 ,Grid,Connected
Home Assistant Hub,Smart Appliances,8.40,11-06-2023,Canada,47,Man,3 per week,PlugWise,11.90,$16.68 ,Battery,Connected
Video Doorbell,Fitness Monitoring,1.10,04-08-2023,Brazil,59,Prefer not to say,7 per week,SunTrack,0.80,$34.24 ,Solar,Low Bandwidth
Smart Thermostat,Security,23.40,11-04-2020,France,46,Woman,15 per month,EcoHome,3.00,$40.93 ,Grid,Disconnected
Smart Speaker,Energy-saving,21.40,10-04-2021,South Africa,64,Man,5 per week,ViewMax,8.60,$42.94 ,Battery,Offline Mode
Smart Thermostat,Smart Appliances,3.80,18-11-2024,Canada,21,Prefer not to say,10 per month,RingSecure,23.40,$7.26 ,Battery,Intermittent
Security Camera,Security,16.50,10-07-2021,France,25,Man,10 per month,SunTrack,18.40,$8.00 ,Solar,Low Bandwidth
Video Doorbell,Health Monitoring,24.40,25-02-2022,Canada,27,Man,5 per week,SafeGuard,14.10,$29.25 ,Solar,Disconnected
Smart Refrigerator,Entertainment,4.10,16-05-2021,Japan,32,Non-binary,15 per month,PlugWise,14.10,$19.73 ,Battery,Intermittent
Smart Refrigerator,Fitness Monitoring,11.40,16-06-2023,Canada,27,Prefer not to say,10 per month,CoolTech,10.90,$24.84 ,Solar,Connected
Smart Thermostat,Entertainment,1.00,14-06-2020,Germany,48,Woman,5 per week,RingSecure,13.50,$22.25 ,Battery,Offline Mode
Video Doorbell,Water Conservation,10.70,04-07-2021,USA,47,Man,7 per week,PlugWise,21.90,$8.47 ,Solar,Low Bandwidth
Smart Speaker,Entertainment,12.20,23-11-2020,Japan,21,Man,5 per week,ViewMax,17.80,$42.11 ,Solar,Low Bandwidth
Video Doorbell,Energy-saving,13.30,15-06-2022,USA,24,Man,3 per week,CoolTech,19.40,$6.17 ,Solar,Offline Mode
Smart Speaker,Security,16.20,23-11-2021,Brazil,24,Non-binary,5 per week,ViewMax,21.40,$18.24 ,Battery,Connected
Home Assistant Hub,Climate Control,24.40,09-11-2021,Australia,28,Woman,7 per week,CoolTech,4.00,$29.80 ,Solar,Intermittent
Solar Panel Monitor,Climate Control,13.80,18-02-2023,South Africa,30,Non-binary,10 per month,ViewMax,1.10,$37.03 ,Battery,Offline Mode
Smart Thermostat,Entertainment,5.00,22-09-2022,Japan,47,Prefer not to say,10 per month,RingSecure,4.60,$28.52 ,Solar,Low Bandwidth
Solar Panel Monitor,Smart Appliances,6.10,20-11-2022,USA,50,Woman,15 per month,PlugWise,14.20,$11.70 ,Grid,Low Bandwidth
Video Doorbell,Entertainment,1.60,10-09-2022,Canada,31,Woman,7 per week,RingSecure,2.30,$30.32 ,Grid,Disconnected
Smart Light Bulb,Fitness Monitoring,24.60,19-11-2024,Japan,34,Prefer not to say,3 per week,CoolTech,9.60,$20.33 ,Grid,Intermittent
Solar Panel Monitor,Smart Appliances,18.30,03-07-2021,Brazil,23,Woman,15 per month,PlugWise,0.60,$3.89 ,Solar,Disconnected
Smart Refrigerator,Water Conservation,6.20,04-10-2021,India,19,Prefer not to say,7 per week,SunTrack,15.50,$13.21 ,Grid,Connected
Smart Speaker,Entertainment,8.20,02-10-2024,France,28,Man,15 per month,SunTrack,15.80,$19.06 ,Battery,Intermittent
Smart TV,Security,7.10,01-12-2020,Germany,63,Prefer not to say,15 per month,PlugWise,17.30,$32.12 ,Solar,Intermittent
Smart Refrigerator,Health Monitoring,22.80,04-08-2021,Japan,57,Man,3 per week,ViewMax,12.40,$10.39 ,Solar,Low Bandwidth
Smart Speaker,Climate Control,16.40,18-03-2021,Germany,54,Non-binary,7 per week,RingSecure,17.80,$6.21 ,Grid,Disconnected
Home Assistant Hub,Climate Control,9.80,30-06-2023,Australia,45,Man,3 per week,RingSecure,10.20,$11.85 ,Battery,Intermittent
Solar Panel Monitor,Security,18.20,12-11-2023,Mexico,23,Woman,3 per week,EcoHome,10.50,$42.47 ,Solar,Low Bandwidth
Smart Refrigerator,Energy-saving,13.10,02-03-2021,India,49,Woman,5 per week,EcoHome,12.50,$9.27 ,Grid,Disconnected
Smart Speaker,Climate Control,1.50,12-05-2020,Canada,48,Non-binary,5 per week,PlugWise,19.50,$3.47 ,Battery,Connected
Smart Thermostat,Health Monitoring,17.10,04-12-2022,France,22,Man,3 per week,SunTrack,22.00,$38.81 ,Battery,Offline Mode
Smart Speaker,Health Monitoring,12.70,11-08-2023,Mexico,65,Non-binary,15 per month,PlugWise,5.00,$5.22 ,Solar,Connected
Smart Light Bulb,Entertainment,2.40,25-11-2020,Mexico,26,Prefer not to say,5 per week,PlugWise,16.60,$40.98 ,Solar,Offline Mode
Smart Light Bulb,Energy-saving,3.20,17-05-2021,Brazil,21,Woman,15 per month,SafeGuard,18.30,$37.57 ,Grid,Disconnected
Smart Light Bulb,Climate Control,13.50,16-04-2024,Mexico,19,Woman,5 per week,PlugWise,3.50,$46.20 ,Battery,Intermittent
Smart Plug,Health Monitoring,24.90,27-09-2020,India,35,Woman,7 per week,PlugWise,5.10,$48.57 ,Battery,Connected
Smart Light Bulb,Smart Appliances,11.60,24-01-2024,France,44,Prefer not to say,3 per week,PlugWise,3.60,$47.00 ,Battery,Low Bandwidth
Smart Plug,Water Conservation,19.90,22-11-2022,India,65,Woman,5 per week,EcoHome,12.80,$7.31 ,Solar,Offline Mode
Smart Speaker,Water Conservation,16.30,15-08-2021,USA,35,Woman,5 per week,EcoHome,9.50,$49.68 ,Battery,Intermittent
Smart Thermostat,Water Conservation,22.70,04-12-2021,India,52,Man,15 per month,ViewMax,8.80,$3.19 ,Solar,Low Bandwidth
Smart Speaker,Health Monitoring,11.90,22-04-2021,India,52,Prefer not to say,7 per week,ViewMax,21.90,$6.63 ,Battery,Connected
Smart Thermostat,Energy-saving,10.20,16-09-2023,Japan,35,Man,15 per month,SmartLiving,21.00,$33.49 ,Solar,Intermittent
Smart Plug,Fitness Monitoring,10.80,11-09-2024,Germany,29,Man,15 per month,SafeGuard,5.00,$34.41 ,Grid,Disconnected
Home Assistant Hub,Water Conservation,23.10,26-01-2022,Mexico,58,Prefer not to say,10 per month,ViewMax,2.50,$42.07 ,Grid,Offline Mode
Video Doorbell,Fitness Monitoring,11.50,12-12-2020,India,34,Prefer not to say,7 per week,PlugWise,11.50,$43.82 ,Grid,Low Bandwidth
Smart Speaker,Energy-saving,20.60,15-12-2020,Australia,21,Woman,5 per week,SunTrack,6.60,$33.75 ,Solar,Disconnected
Smart Thermostat,Climate Control,6.70,30-03-2023,South Africa,37,Prefer not to say,15 per month,CoolTech,10.20,$23.67 ,Solar,Disconnected
Home Assistant Hub,Energy-saving,3.00,24-08-2023,South Africa,24,Woman,3 per week,PlugWise,21.70,$43.27 ,Solar,Low Bandwidth
Smart TV,Health Monitoring,4.40,20-11-2024,Canada,24,Non-binary,7 per week,ViewMax,21.20,$5.78 ,Battery,Low Bandwidth
Home Assistant Hub,Smart Appliances,16.70,27-02-2020,Japan,21,Non-binary,5 per week,SmartLiving,15.30,$47.02 ,Solar,Offline Mode
Smart Plug,Smart Appliances,4.40,23-11-2020,Mexico,51,Non-binary,3 per week,EcoHome,19.90,$29.03 ,Battery,Low Bandwidth
Smart Plug,Entertainment,23.90,09-01-2021,Brazil,38,Prefer not to say,3 per week,RingSecure,15.50,$17.49 ,Solar,Intermittent
Solar Panel Monitor,Climate Control,18.60,16-02-2020,Mexico,38,Non-binary,7 per week,ViewMax,9.20,$25.39 ,Solar,Connected
Security Camera,Health Monitoring,5.90,10-03-2023,Brazil,46,Prefer not to say,10 per month,BrightLife,6.10,$9.65 ,Battery,Disconnected
Smart Thermostat,Entertainment,20.20,18-06-2021,Canada,51,Man,15 per month,BrightLife,12.70,$12.52 ,Solar,Disconnected
Smart Light Bulb,Smart Appliances,10.40,18-06-2020,Japan,33,Woman,3 per week,SmartLiving,10.00,$23.27 ,Grid,Intermittent
Home Assistant Hub,Entertainment,8.80,02-09-2024,USA,49,Non-binary,7 per week,SmartLiving,14.10,$12.89 ,Solar,Intermittent
Smart Light Bulb,Health Monitoring,6.30,05-12-2020,Canada,28,Prefer not to say,10 per month,SafeGuard,13.00,$11.19 ,Solar,Disconnected
Smart Thermostat,Fitness Monitoring,13.30,18-02-2020,Australia,39,Prefer not to say,15 per month,SmartLiving,20.90,$19.83 ,Battery,Connected
Security Camera,Fitness Monitoring,3.70,19-11-2020,USA,46,Woman,10 per month,SafeGuard,14.30,$16.55 ,Grid,Disconnected
Video Doorbell,Health Monitoring,21.80,24-01-2022,France,26,Man,7 per week,SmartLiving,2.40,$14.60 ,Solar,Disconnected
Security Camera,Health Monitoring,23.20,24-01-2020,South Africa,61,Man,5 per week,SoundWave,15.00,$29.62 ,Solar,Disconnected
Smart Plug,Security,18.10,12-10-2023,India,48,Non-binary,7 per week,SunTrack,12.80,$3.91 ,Grid,Offline Mode
Solar Panel Monitor,Smart Appliances,15.80,07-02-2022,Mexico,58,Prefer not to say,10 per month,RingSecure,8.80,$26.30 ,Battery,Disconnected
Smart Plug,Health Monitoring,5.00,16-11-2022,Mexico,23,Prefer not to say,7 per week,SafeGuard,6.50,$37.43 ,Battery,Connected
Smart Speaker,Entertainment,7.20,13-07-2020,Canada,49,Non-binary,15 per month,CoolTech,1.70,$7.51 ,Solar,Connected
Smart Light Bulb,Health Monitoring,14.40,27-09-2023,Germany,53,Non-binary,5 per week,EcoHome,17.70,$46.00 ,Battery,Low Bandwidth
Video Doorbell,Climate Control,14.80,24-06-2020,Australia,19,Non-binary,15 per month,CoolTech,23.10,$26.19 ,Grid,Intermittent
Smart Plug,Health Monitoring,11.30,05-01-2022,India,18,Prefer not to say,3 per week,ViewMax,8.10,$13.44 ,Battery,Connected
Smart Plug,Fitness Monitoring,22.00,04-12-2020,Australia,30,Non-binary,3 per week,SunTrack,17.90,$23.48 ,Solar,Offline Mode
Security Camera,Health Monitoring,3.20,21-02-2022,Brazil,65,Non-binary,10 per month,SmartLiving,16.90,$27.38 ,Solar,Disconnected
Security Camera,Climate Control,5.10,01-04-2022,France,59,Woman,10 per month,EcoHome,0.80,$28.24 ,Battery,Disconnected
Security Camera,Climate Control,16.50,21-02-2024,Mexico,19,Woman,10 per month,CoolTech,22.50,$2.05 ,Grid,Disconnected
Solar Panel Monitor,Water Conservation,19.60,12-07-2024,Japan,22,Woman,15 per month,RingSecure,15.80,$5.42 ,Solar,Low Bandwidth
Home Assistant Hub,Climate Control,20.10,12-03-2022,Canada,30,Woman,7 per week,RingSecure,20.00,$36.33 ,Battery,Low Bandwidth
Smart TV,Fitness Monitoring,22.20,14-05-2023,India,62,Woman,7 per week,SoundWave,2.70,$11.39 ,Solar,Intermittent
Smart Plug,Security,17.90,22-06-2020,Japan,41,Prefer not to say,3 per week,SunTrack,16.90,$11.62 ,Battery,Offline Mode
Smart Thermostat,Entertainment,20.90,28-12-2024,Australia,57,Woman,5 per week,EcoHome,6.70,$19.99 ,Solar,Intermittent
Smart Speaker,Entertainment,9.50,22-04-2020,India,33,Prefer not to say,10 per month,ViewMax,19.90,$46.56 ,Battery,Disconnected
Smart Refrigerator,Energy-saving,9.50,01-03-2022,Australia,60,Woman,5 per week,SafeGuard,21.80,$26.49 ,Grid,Offline Mode
Smart Refrigerator,Security,3.30,10-05-2022,Japan,53,Woman,5 per week,PlugWise,3.00,$34.76 ,Grid,Offline Mode
Smart Plug,Health Monitoring,16.80,12-03-2022,Canada,56,Non-binary,5 per week,PlugWise,10.00,$20.60 ,Grid,Disconnected
Smart Light Bulb,Fitness Monitoring,1.10,01-06-2020,France,32,Non-binary,15 per month,RingSecure,21.00,$19.41 ,Solar,Intermittent
Smart Speaker,Energy-saving,15.30,03-11-2022,Germany,57,Non-binary,3 per week,SafeGuard,4.20,$26.98 ,Solar,Offline Mode
Smart Light Bulb,Smart Appliances,11.30,12-08-2021,France,36,Non-binary,7 per week,SafeGuard,4.30,$28.56 ,Solar,Disconnected
Security Camera,Health Monitoring,1.10,29-07-2022,South Africa,40,Woman,15 per month,SafeGuard,19.90,$10.56 ,Solar,Connected
Smart Refrigerator,Smart Appliances,21.90,24-02-2021,Japan,44,Prefer not to say,10 per month,ViewMax,6.50,$9.86 ,Solar,Offline Mode
Smart Light Bulb,Smart Appliances,15.80,03-07-2020,Mexico,39,Prefer not to say,5 per week,SmartLiving,5.70,$17.10 ,Solar,Offline Mode
Smart Thermostat,Health Monitoring,5.00,10-03-2020,Brazil,49,Woman,3 per week,SmartLiving,4.10,$37.65 ,Grid,Disconnected
Video Doorbell,Climate Control,4.80,12-03-2020,Brazil,20,Prefer not to say,15 per month,EcoHome,0.70,$26.09 ,Battery,Intermittent
Smart Refrigerator,Security,12.20,19-09-2023,Mexico,33,Prefer not to say,7 per week,BrightLife,22.20,$46.73 ,Solar,Disconnected
Smart Plug,Security,16.30,15-07-2020,USA,28,Man,3 per week,SoundWave,9.60,$3.46 ,Grid,Intermittent
Smart Plug,Entertainment,18.50,14-05-2020,India,35,Prefer not to say,5 per week,PlugWise,5.30,$29.50 ,Solar,Offline Mode
Solar Panel Monitor,Entertainment,14.00,12-01-2021,Brazil,43,Prefer not to say,15 per month,ViewMax,23.70,$9.68 ,Grid,Low Bandwidth
Smart Speaker,Smart Appliances,23.60,30-05-2023,Mexico,62,Man,5 per week,PlugWise,16.20,$38.34 ,Battery,Offline Mode
Smart Speaker,Smart Appliances,21.90,14-12-2023,India,59,Woman,10 per month,SunTrack,7.10,$23.40 ,Battery,Low Bandwidth
Smart Light Bulb,Fitness Monitoring,14.30,26-10-2020,Mexico,46,Woman,10 per month,EcoHome,11.60,$39.17 ,Battery,Low Bandwidth
Smart Speaker,Fitness Monitoring,19.70,13-06-2020,Japan,54,Man,10 per month,SunTrack,22.20,$5.91 ,Battery,Disconnected
Security Camera,Fitness Monitoring,6.40,05-11-2020,Canada,18,Prefer not to say,10 per month,SmartLiving,16.70,$2.29 ,Solar,Connected
Smart TV,Climate Control,7.80,08-05-2023,India,40,Prefer not to say,3 per week,BrightLife,13.40,$3.34 ,Battery,Connected
Home Assistant Hub,Water Conservation,24.40,21-12-2023,Canada,22,Woman,15 per month,SmartLiving,5.60,$17.05 ,Battery,Connected
Smart Thermostat,Security,23.10,08-03-2021,Japan,18,Prefer not to say,10 per month,BrightLife,8.60,$14.85 ,Grid,Disconnected
Solar Panel Monitor,Security,22.90,28-06-2022,Japan,53,Man,7 per week,SmartLiving,10.00,$23.80 ,Grid,Low Bandwidth
Smart Speaker,Entertainment,23.50,08-10-2024,Germany,34,Man,3 per week,SunTrack,15.30,$8.56 ,Solar,Offline Mode
Smart Light Bulb,Water Conservation,6.50,06-12-2021,Mexico,43,Non-binary,7 per week,EcoHome,7.70,$34.04 ,Grid,Intermittent
Solar Panel Monitor,Water Conservation,14.30,15-12-2024,Brazil,37,Non-binary,7 per week,PlugWise,0.50,$28.39 ,Battery,Connected
Smart Thermostat,Entertainment,5.30,01-11-2020,Germany,34,Non-binary,10 per month,SoundWave,7.70,$24.34 ,Grid,Low Bandwidth
Video Doorbell,Fitness Monitoring,20.80,14-03-2022,Brazil,39,Prefer not to say,7 per week,RingSecure,20.60,$18.56 ,Solar,Offline Mode
Smart Refrigerator,Smart Appliances,18.50,25-12-2022,Germany,42,Non-binary,10 per month,ViewMax,18.10,$22.26 ,Grid,Disconnected
Smart TV,Smart Appliances,15.80,06-04-2024,South Africa,46,Man,15 per month,SafeGuard,11.60,$34.17 ,Grid,Connected
Smart Speaker,Fitness Monitoring,14.80,10-08-2022,Canada,65,Woman,7 per week,SafeGuard,14.00,$25.63 ,Battery,Low Bandwidth
Smart Refrigerator,Energy-saving,7.90,20-03-2020,Canada,35,Man,10 per month,EcoHome,13.80,$28.76 ,Grid,Low Bandwidth
Smart Refrigerator,Energy-saving,16.60,25-12-2024,Mexico,33,Man,15 per month,SoundWave,23.70,$19.79 ,Battery,Low Bandwidth
Smart Light Bulb,Fitness Monitoring,5.80,09-10-2022,South Africa,49,Woman,10 per month,BrightLife,8.10,$31.88 ,Solar,Intermittent
Security Camera,Entertainment,13.80,29-05-2021,Germany,25,Prefer not to say,3 per week,CoolTech,12.40,$16.42 ,Solar,Intermittent
Smart Speaker,Climate Control,4.70,22-01-2021,Japan,23,Prefer not to say,3 per week,SunTrack,0.90,$34.04 ,Grid,Low Bandwidth
Smart Light Bulb,Climate Control,15.00,23-02-2022,France,30,Non-binary,5 per week,ViewMax,9.80,$41.91 ,Solar,Intermittent
Smart Light Bulb,Entertainment,6.50,12-10-2021,Brazil,32,Man,3 per week,EcoHome,9.60,$4.18 ,Solar,Disconnected
Smart Plug,Health Monitoring,18.50,14-10-2024,France,58,Man,3 per week,SafeGuard,13.20,$39.07 ,Solar,Intermittent
Smart TV,Entertainment,16.30,01-11-2020,Brazil,30,Woman,5 per week,SunTrack,3.70,$17.13 ,Battery,Offline Mode
Smart Light Bulb,Energy-saving,3.30,11-04-2020,USA,65,Man,10 per month,ViewMax,16.00,$13.30 ,Solar,Low Bandwidth
Smart Light Bulb,Health Monitoring,6.90,04-05-2022,Mexico,29,Prefer not to say,10 per month,EcoHome,13.90,$43.09 ,Battery,Offline Mode
Smart TV,Energy-saving,19.80,23-05-2022,Mexico,58,Prefer not to say,5 per week,BrightLife,11.30,$49.05 ,Battery,Low Bandwidth
Smart Plug,Health Monitoring,5.00,04-09-2021,Mexico,54,Man,15 per month,SmartLiving,14.90,$48.42 ,Solar,Connected
Video Doorbell,Smart Appliances,15.70,16-10-2023,France,26,Prefer not to say,10 per month,PlugWise,21.60,$31.55 ,Solar,Offline Mode
Smart Thermostat,Fitness Monitoring,20.10,08-05-2021,India,25,Prefer not to say,5 per week,SmartLiving,15.60,$47.89 ,Solar,Offline Mode
Smart TV,Energy-saving,1.70,13-03-2024,USA,28,Non-binary,7 per week,SmartLiving,16.00,$42.15 ,Grid,Connected
Solar Panel Monitor,Security,15.60,14-01-2021,Brazil,19,Man,7 per week,SafeGuard,13.40,$43.84 ,Solar,Low Bandwidth
Security Camera,Entertainment,17.80,21-04-2023,Canada,63,Prefer not to say,15 per month,RingSecure,12.20,$18.67 ,Solar,Disconnected
Security Camera,Energy-saving,16.00,14-06-2020,Mexico,57,Non-binary,5 per week,SoundWave,19.90,$40.00 ,Battery,Connected
Smart Speaker,Climate Control,17.40,23-03-2022,Japan,39,Woman,7 per week,SoundWave,2.30,$39.76 ,Grid,Low Bandwidth
Solar Panel Monitor,Health Monitoring,11.10,11-12-2023,Canada,60,Prefer not to say,3 per week,RingSecure,6.60,$14.73 ,Solar,Disconnected
Solar Panel Monitor,Energy-saving,21.90,26-06-2024,Brazil,50,Man,7 per week,RingSecure,14.40,$47.92 ,Solar,Offline Mode
Smart Thermostat,Smart Appliances,23.20,15-06-2024,Japan,39,Man,3 per week,SmartLiving,4.70,$26.54 ,Solar,Connected
Smart Light Bulb,Water Conservation,13.10,29-01-2021,Canada,41,Woman,10 per month,SafeGuard,13.90,$26.02 ,Battery,Offline Mode
Smart Plug,Smart Appliances,11.20,03-07-2020,South Africa,59,Man,7 per week,SoundWave,6.60,$30.01 ,Battery,Connected
Smart TV,Health Monitoring,24.80,13-11-2020,Australia,41,Prefer not to say,15 per month,SunTrack,11.50,$18.95 ,Battery,Connected
Video Doorbell,Water Conservation,19.30,25-02-2023,India,51,Woman,5 per week,BrightLife,4.30,$9.99 ,Battery,Disconnected
Home Assistant Hub,Health Monitoring,20.40,28-09-2021,France,51,Non-binary,3 per week,BrightLife,18.40,$43.81 ,Grid,Intermittent
Solar Panel Monitor,Entertainment,14.60,09-04-2023,Mexico,48,Prefer not to say,3 per week,SmartLiving,1.60,$8.07 ,Solar,Connected
Smart TV,Health Monitoring,8.90,09-11-2020,Australia,43,Prefer not to say,5 per week,PlugWise,15.40,$36.95 ,Grid,Intermittent
Smart Plug,Entertainment,10.10,28-09-2023,India,36,Non-binary,5 per week,CoolTech,13.20,$49.59 ,Battery,Connected
Smart Light Bulb,Security,4.90,21-10-2024,India,26,Prefer not to say,10 per month,SmartLiving,8.30,$15.16 ,Solar,Offline Mode
Smart Thermostat,Climate Control,6.10,24-06-2020,Brazil,31,Prefer not to say,5 per week,CoolTech,15.80,$31.74 ,Battery,Offline Mode
Video Doorbell,Fitness Monitoring,5.90,02-04-2023,Brazil,32,Man,15 per month,ViewMax,0.70,$16.84 ,Solar,Connected
Smart Refrigerator,Climate Control,17.80,30-04-2021,Canada,54,Man,5 per week,SafeGuard,8.70,$30.20 ,Grid,Low Bandwidth
Smart Thermostat,Smart Appliances,8.00,19-06-2020,India,25,Woman,5 per week,SoundWave,22.40,$36.36 ,Solar,Connected
Smart Plug,Water Conservation,23.60,11-07-2020,Germany,40,Man,15 per month,EcoHome,16.90,$5.50 ,Battery,Connected
Smart TV,Entertainment,3.20,05-08-2024,Canada,37,Man,7 per week,PlugWise,7.80,$6.27 ,Battery,Connected
Home Assistant Hub,Entertainment,12.20,22-06-2024,Canada,38,Non-binary,3 per week,BrightLife,11.20,$41.23 ,Battery,Intermittent
Smart Speaker,Fitness Monitoring,16.50,13-03-2023,South Africa,20,Man,5 per week,ViewMax,6.10,$18.38 ,Battery,Disconnected
Smart Refrigerator,Security,13.00,30-09-2020,Germany,30,Man,7 per week,EcoHome,15.30,$10.50 ,Grid,Offline Mode
Home Assistant Hub,Energy-saving,3.80,27-04-2024,Germany,42,Woman,15 per month,EcoHome,12.30,$46.20 ,Battery,Intermittent
Solar Panel Monitor,Energy-saving,8.30,12-12-2023,India,55,Woman,10 per month,EcoHome,15.60,$6.33 ,Grid,Intermittent
Solar Panel Monitor,Climate Control,5.60,02-11-2024,India,31,Non-binary,15 per month,ViewMax,5.20,$44.62 ,Solar,Connected
Smart TV,Fitness Monitoring,3.40,27-06-2022,Japan,19,Woman,15 per month,SafeGuard,16.70,$7.88 ,Grid,Low Bandwidth
Video Doorbell,Climate Control,0.90,13-09-2020,Germany,24,Non-binary,3 per week,SoundWave,2.30,$35.53 ,Battery,Intermittent
Smart Plug,Fitness Monitoring,24.10,25-03-2021,Brazil,48,Non-binary,10 per month,EcoHome,16.80,$47.55 ,Solar,Connected
Video Doorbell,Climate Control,13.60,18-01-2020,France,21,Non-binary,3 per week,SunTrack,2.10,$20.16 ,Grid,Connected
Solar Panel Monitor,Security,3.60,14-08-2020,Germany,27,Woman,7 per week,RingSecure,17.10,$38.93 ,Battery,Connected
Home Assistant Hub,Health Monitoring,3.50,24-01-2022,Australia,19,Prefer not to say,7 per week,BrightLife,12.50,$5.58 ,Solar,Connected
Smart Speaker,Water Conservation,15.00,18-06-2024,India,48,Man,7 per week,CoolTech,8.80,$34.21 ,Grid,Disconnected
Smart TV,Water Conservation,0.70,16-01-2023,Australia,26,Prefer not to say,7 per week,SafeGuard,11.60,$15.13 ,Battery,Intermittent
Home Assistant Hub,Entertainment,15.40,06-06-2020,India,26,Prefer not to say,15 per month,SmartLiving,22.90,$22.87 ,Grid,Disconnected
Smart Light Bulb,Entertainment,22.70,05-02-2021,France,39,Non-binary,5 per week,CoolTech,10.30,$7.39 ,Battery,Connected
Smart Plug,Security,24.80,28-10-2021,Canada,31,Prefer not to say,5 per week,SafeGuard,2.70,$21.96 ,Solar,Connected
Smart Refrigerator,Security,13.70,23-08-2020,USA,41,Non-binary,15 per month,SoundWave,13.00,$28.58 ,Battery,Intermittent
Solar Panel Monitor,Fitness Monitoring,19.20,30-08-2021,Germany,63,Non-binary,5 per week,ViewMax,4.10,$34.40 ,Solar,Disconnected
Smart Thermostat,Security,21.00,30-07-2024,Germany,59,Prefer not to say,3 per week,CoolTech,3.90,$16.56 ,Solar,Offline Mode
Security Camera,Water Conservation,7.10,09-10-2023,Australia,24,Prefer not to say,5 per week,SunTrack,22.80,$37.87 ,Battery,Connected
Smart Refrigerator,Security,23.90,06-06-2020,Germany,36,Man,5 per week,RingSecure,8.70,$18.89 ,Battery,Low Bandwidth
Smart Thermostat,Fitness Monitoring,23.20,14-04-2022,Australia,20,Man,10 per month,BrightLife,5.00,$12.45 ,Battery,Connected
Home Assistant Hub,Health Monitoring,3.10,12-09-2023,Australia,61,Prefer not to say,3 per week,SunTrack,9.40,$6.48 ,Battery,Intermittent
Video Doorbell,Entertainment,5.70,22-04-2024,South Africa,62,Man,3 per week,CoolTech,16.20,$45.64 ,Solar,Offline Mode
Solar Panel Monitor,Energy-saving,4.80,08-09-2020,USA,57,Non-binary,15 per month,CoolTech,3.70,$12.61 ,Grid,Intermittent
Smart Plug,Smart Appliances,1.50,06-05-2020,South Africa,41,Non-binary,15 per month,BrightLife,11.90,$17.92 ,Grid,Offline Mode
Smart Refrigerator,Water Conservation,21.00,23-12-2020,France,35,Non-binary,7 per week,SmartLiving,20.40,$18.81 ,Battery,Connected
Solar Panel Monitor,Water Conservation,13.40,16-04-2021,India,20,Non-binary,3 per week,PlugWise,7.80,$8.29 ,Grid,Disconnected
Video Doorbell,Energy-saving,6.20,10-02-2020,Australia,39,Woman,5 per week,PlugWise,3.80,$23.03 ,Battery,Disconnected
Smart Light Bulb,Health Monitoring,16.50,11-12-2022,USA,27,Prefer not to say,10 per month,ViewMax,3.00,$9.89 ,Battery,Low Bandwidth
Video Doorbell,Smart Appliances,5.20,29-05-2024,France,60,Prefer not to say,5 per week,SmartLiving,3.10,$42.16 ,Battery,Offline Mode
